t_ms,s1,s2,s1_norm,s2_norm,thr1,thr2,line1,line2
1891740,4095,4057,0.0,0.0,412.5,409.0,1,1
1891840,4095,4095,0.0,0.0,412.5,409.0,1,1
1891940,4095,4095,0.0,0.0,412.5,409.0,1,1
1892040,4095,4095,0.0,0.0,412.5,409.0,1,1
1892140,4095,4083,0.0,0.0,412.5,409.0,1,1
1892240,4041,4095,0.0,0.0,412.5,409.0,1,1
1892340,3846,3826,0.0,0.0,412.5,409.0,1,1
1892440,3505,3440,0.0,0.0,412.5,409.0,1,1
1892540,3442,2679,0.0,0.0,412.5,409.0,1,1
1892640,3280,3280,0.0,0.0,412.5,409.0,1,1
1892740,3360,3442,0.0,0.0,412.5,409.0,1,1
1892840,2911,3158,0.0,0.0,412.5,409.0,1,1
1892940,2748,2754,0.0,0.0,412.5,409.0,1,1
1893040,2682,2559,0.0,0.0,412.5,409.0,1,1
1893140,2611,2499,0.0,0.0,412.5,409.0,1,1
1893240,2511,2467,0.0,0.0,412.5,409.0,1,1
1893340,2498,2324,0.0,0.0,412.5,409.0,1,1
1893440,2403,2278,0.0,0.0,412.5,409.0,1,1
1893540,2427,2298,0.0,0.0,412.5,409.0,1,1
1893640,2471,2284,0.0,0.0,412.5,409.0,1,1
1893740,2426,2312,0.0,0.0,412.5,409.0,1,1
1893840,2417,2315,0.0,0.0,412.5,409.0,1,1
1893940,2411,2324,0.0,0.0,412.5,409.0,1,1
1894040,2383,2272,0.0,0.0,412.5,409.0,1,1
1894140,2384,2265,0.0,0.0,412.5,409.0,1,1
1894240,2383,2278,0.0,0.0,412.5,409.0,1,1
1894340,2406,2288,0.0,0.0,412.5,409.0,1,1
1894440,2417,2242,0.0,0.0,412.5,409.0,1,1
1894540,2416,2282,0.0,0.0,412.5,409.0,1,1
1894640,2440,2282,0.0,0.0,412.5,409.0,1,1
1894740,2482,2333,0.0,0.0,412.5,409.0,1,1
1894840,2483,2307,0.0,0.0,412.5,409.0,1,1
1894940,2496,2238,0.0,0.0,412.5,409.0,1,1
1895040,2786,2423,0.0,0.0,412.5,409.0,1,1
1895140,3118,2670,0.0,0.0,412.5,409.0,1,1
1895240,3131,2672,0.0,0.0,412.5,409.0,1,1
1895340,3123,2911,0.0,0.0,412.5,409.0,1,1
1895440,3290,3432,0.0,0.0,412.5,409.0,1,1
1895540,3323,3536,0.0,0.0,412.5,409.0,1,1
1895640,3127,3496,0.0,0.0,412.5,409.0,1,1
1895740,2474,2374,0.0,0.0,412.5,409.0,1,1
1895840,2171,1626,0.0,0.0,412.5,409.0,1,1
1895940,2022,1190,0.0,0.0,412.5,409.0,1,1
1896040,1898,870,0.0,0.0,412.5,409.0,1,1
1896140,1840,976,0.0,0.0,412.5,409.0,1,1
